name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';420.650000;9.224103e-01;-1.380254e+01;2.196360e+01;6.205768e-02;-7.814308e-03;2.982039e+01;1.355812e-02;1.407004e+00;7.102385e+00;8.147338e+00;2.316034e+01;5.553514e+02;1.488709e+03;6.647167e+00;1.721592e+03;-1.488890e+01;2.500594e+03;-9.772709e+00
'unknown';420.700000;5.423020e-01;-1.866002e+01;2.569481e+01;4.487747e-02;-6.613541e-03;2.957989e+01;1.105684e-02;1.377832e+00;7.767231e+00;7.751677e+00;2.948506e+01;6.747072e+02;1.367272e+03;-3.218104e+00;1.826003e+03;-1.903098e+01;2.540673e+03;-1.998877e+01
'unknown';420.750000;3.936114e-01;-2.144915e+01;3.136526e+01;4.874223e-02;-1.302186e-02;3.005110e+01;1.515291e-02;1.669775e+00;7.711637e+00;7.467907e+00;3.580188e+01;8.396555e+02;1.283040e+03;-7.427172e+00;1.942749e+03;-2.307239e+01;2.769046e+03;-2.750570e+01
'unknown';420.800000;6.054153e-01;-1.795651e+01;3.234222e+01;6.915298e-02;-1.457568e-02;3.053365e+01;1.967984e-02;1.321505e+00;6.050016e+00;1.278871e+00;3.244960e+01;8.138930e+02;1.161720e+03;-2.226903e+00;1.845862e+03;-1.583337e+01;3.027212e+03;-2.343476e+01
'unknown';420.850000;7.450972e-01;-1.128239e+01;2.832618e+01;9.421501e-02;-7.190742e-03;3.084659e+01;2.621979e-02;1.795235e+00;4.628827e+00;-3.813390e+00;2.912166e+01;9.290600e+02;1.074397e+03;-6.415029e+01;1.824416e+03;-7.342182e+01;3.125614e+03;-7.829691e+01
'unknown';420.900000;6.104707e-01;-3.494454e+00;1.912908e+01;7.286414e-02;6.881263e-03;0;0;0;0;0;0;6.707950e+02;1.331744e+03;-1.318700e+02;1.596829e+03;-1.338732e+02;2.781446e+03;-1.370413e+02
'unknown';420.950000;3.584718e-01;-1.921617e+00;1.340789e+01;4.772324e-02;1.073202e-02;0;0;0;0;0;0;6.816567e+02;1.600815e+03;-201;1.684984e+03;-201;2.616749e+03;-201
'unknown';421.000000;4.551702e-01;-3.538383e+00;1.753585e+01;4.846092e-02;1.113819e-03;0;0;0;0;0;0;4.215753e+02;1.793772e+03;-201;1.414922e+03;-1.351198e+02;2.256449e+03;-1.394620e+02
'unknown';421.050000;7.572320e-01;-5.956381e+00;1.920620e+01;7.254490e-02;3.315341e-04;3.103017e+01;1.320377e-02;1.822294e+00;1.794842e+00;2.924430e-01;1.610751e+01;4.398613e+02;1.729238e+03;0;1.445089e+03;-6.966555e+01;2.264128e+03;-7.373348e+01
'unknown';421.100000;9.546010e-01;-9.190407e+00;2.070209e+01;8.594698e-02;-4.639823e-03;3.060127e+01;1.209963e-02;1.686314e+00;3.512502e+00;5.669319e-01;1.988219e+01;2.196444e+02;1.648586e+03;0;1.141114e+03;-4.766039e+00;2.070772e+03;-1.361754e+01
